feature,importance
min_x_R_foot_1,-9.633911368014391e-05
min_y_R_foot_1,0.0003853564547206645
min_z_R_foot_1,-0.0002408477842003709
min_x_R_foot_2,-0.00038535645472057565
min_y_R_foot_2,0.0012524084778420374
min_z_R_foot_2,-0.0004816955684007307
min_x_R_foot_3,0.0
min_y_R_foot_3,4.816955684008306e-05
min_z_R_foot_3,0.0
min_x_R_foot_4,-0.00014450867052021588
min_y_R_foot_4,0.00019267822736033225
min_z_R_foot_4,-4.8169556840071956e-05
min_x_R_shank_1,0.0006262042389210354
min_y_R_shank_1,-0.0005780346820808858
min_z_R_shank_1,0.0
min_x_R_shank_2,-4.8169556840071956e-05
min_y_R_shank_2,0.00043352601156072535
min_z_R_shank_2,0.0
min_x_R_shank_3,-0.0002890173410404429
min_y_R_shank_3,-0.00014450867052021588
min_z_R_shank_3,-0.0003853564547205979
min_x_R_shank_4,4.816955684008306e-05
min_y_R_shank_4,0.0
min_z_R_shank_4,-0.0004335260115606476
min_x_R_thigh_1,0.0
min_y_R_thigh_1,0.0
min_z_R_thigh_1,0.0
min_x_R_thigh_2,-4.8169556840071956e-05
min_y_R_thigh_2,-0.00028901734104043176
min_z_R_thigh_2,-0.00014450867052021588
min_x_R_thigh_3,-9.633911368014391e-05
min_y_R_thigh_3,-0.00033718689788050373
min_z_R_thigh_3,-9.633911368014391e-05
min_x_R_thigh_4,-0.00014450867052021588
min_y_R_thigh_4,0.0
min_z_R_thigh_4,0.0
min_x_pelvis_1,0.0002408477842004375
min_y_pelvis_1,-0.00038535645472058676
min_z_pelvis_1,0.0
min_x_pelvis_2,0.0006262042389210354
min_y_pelvis_2,0.0
min_z_pelvis_2,0.0
min_x_pelvis_3,0.0
min_y_pelvis_3,0.0
min_z_pelvis_3,0.0
min_x_pelvis_4,-0.00028901734104043176
min_y_pelvis_4,-0.0005780346820809079
min_z_pelvis_4,0.0
max_x_L_foot_1,0.0003853564547206645
max_y_L_foot_1,0.0
max_z_L_foot_1,-4.8169556840071956e-05
max_x_L_foot_2,0.0006743737957610963
max_y_L_foot_2,-0.00024084778420034868
max_z_L_foot_2,-0.0002408477842003598
max_x_L_foot_3,-4.8169556840060856e-05
max_y_L_foot_3,-0.00038535645472057565
max_z_L_foot_3,0.0
max_x_L_foot_4,0.0003853564547206645
max_y_L_foot_4,-4.8169556840071956e-05
max_z_L_foot_4,0.0
max_x_L_shank_1,4.816955684008306e-05
max_y_L_shank_1,-0.00038535645472057565
max_z_L_shank_1,-0.0002408477842003598
max_x_L_shank_2,0.0003371868978805703
max_y_L_shank_2,3.3306690738754695e-17
max_z_L_shank_2,0.0
max_x_L_shank_3,-9.633911368013281e-05
max_y_L_shank_3,-0.0002408477842003598
max_z_L_shank_3,0.0
max_x_L_shank_4,0.00028901734104050945
max_y_L_shank_4,0.0
max_z_L_shank_4,0.0
max_x_L_thigh_1,0.0003853564547206645
max_y_L_thigh_1,-0.00028901734104043176
max_z_L_thigh_1,-0.00028901734104043176
max_x_L_thigh_2,-9.633911368014391e-05
max_y_L_thigh_2,0.0
max_z_L_thigh_2,-9.633911368014391e-05
max_x_L_thigh_3,0.0003853564547206645
max_y_L_thigh_3,0.0
max_z_L_thigh_3,-0.00014450867052021588
max_x_L_thigh_4,0.00019267822736033225
max_y_L_thigh_4,0.0
max_z_L_thigh_4,-9.633911368014391e-05
max_x_R_foot_1,-0.0004816955684007196
